          membership_function_windy_not
[0,1)                        1.00000000
[1,2)                        0.99989871
[2,3)                        0.99837459
[3,4)                        0.99140114
[4,5)                        0.97521952
[5,6)                        0.94833654
[6,7)                        0.91015038
[7,8)                        0.85735640
[8,9)                        0.78517047
[9,10)                       0.68245432
[10,11)                      0.55940406
[11,12)                      0.42146572
[12,13)                      0.29265055
[13,14)                      0.18273665
[14,15)                      0.09731320
[15,16)                      0.03512187
[16,17)                      0.00000000
[17,18)                      0.00000000
[18,19)                      0.00000000
[19,20)                      0.00000000
[20,21)                      0.00000000
[21,22)                      0.00000000
[22,23)                      0.00000000
[23,24)                      0.00000000
[24,25)                      0.00000000
[25,26)                      0.00000000
[26,27)                      0.00000000
[27,28)                      0.00000000
[28,29)                      0.00000000
[29,30)                      0.00000000
[30,31)                      0.00000000
[31,32)                      0.00000000
[32,33)                      0.00000000
[33,34)                      0.00000000
[34,35)                      0.00000000
[35,36)                      0.00000000
[36,37)                      0.00000000
[37,38)                      0.00000000
[38,39)                      0.00000000
[39,40)                      0.00000000
[40,41)                      0.00000000
[41,42)                      0.00000000
[42,43)                      0.00000000
[43,44)                      0.00000000
[44,45)                      0.00000000
[45,46)                      0.00000000
[46,47)                      0.00000000
[47,48)                      0.00000000
[48,49)                      0.00000000
[49,50)                      0.00000000
[50,51)                      0.00000000
[51,52)                      0.00000000
[52,53)                      0.00000000
[53,54)                      0.00000000
[54,55)                      0.00000000
[55,56)                      0.00000000
[56,57)                      0.00000000
[57,58)                      0.00000000
[58,59)                      0.00000000
[59,60)                      0.00000000
[60,61)                      0.00000000
[61,62)                      0.00000000
[62,63)                      0.00000000
[63,64)                      0.00000000
[64,65)                      0.00000000
[65,66)                      0.00000000
[66,67)                      0.00000000
[67,68)                      0.00000000
[68,69)                      0.00000000
[69,70)                      0.00000000
[70,71)                      0.00000000
[71,72)                      0.00000000
[72,73)                      0.00000000
[73,74)                      0.00000000
[74,75)                      0.00000000
[75,76)                      0.00000000
[76,77)                      0.00000000
[77,78)                      0.00000000
[78,79)                      0.00000000
[79,80)                      0.00000000
[80,81)                      0.00000000
[81,82)                      0.00000000
[82,83)                      0.00000000
[83,84)                      0.00000000
[84,85)                      0.00000000
[85,86)                      0.00000000
[86,87)                      0.00000000
[87,88)                      0.00000000
[88,89)                      0.00000000
[89,90)                      0.00000000
[90,91)                      0.00000000
[91,92)                      0.00000000
[92,93)                      0.00000000
[93,94)                      0.00000000
[94,95)                      0.00000000
[95,96)                      0.00000000
[96,97)                      0.00000000
[97,98)                      0.00000000
[98,99)                      0.00000000
[99,100)                     0.00000000
[100,101)                    0.00000000
[101,102)                    0.00000000
[102,103)                    0.00000000
[103,104)                    0.00000000
[104,105)                    0.00000000
[105,106)                    0.00000000
[106,107)                    0.00000000
[107,108)                    0.00000000
[108,109)                    0.00000000
[109,110)                    0.00000000
[110,111)                    0.00000000
[111,112)                    0.00000000
[112,113)                    0.00000000
[113,114)                    0.00000000
[114,115)                    0.00000000
[115,116)                    0.00000000
[116,117)                    0.00000000
[117,118)                    0.00000000
[118,119)                    0.00000000
[119,120)                    0.00000000
[120,121)                    0.00000000
[121,122)                    0.00000000
[122,123)                    0.00000000
[123,124)                    0.00000000
[124,125)                    0.00000000
